	fqid	enum	room	obj_type	notification	observation	speakers	text	count_boxes	num_sentences	count_bang	count_qmark	num_speakers	num_words	num_syllable_estimate	words_per_sentence	est_syllable_per_word	flesch_kinkaid
23	tunic.capitol_3.hall.gramps.hub	187	hall	persons	False	False	['gramps', 'Jolie']	null	1	1	0	0	2	1	1	1.0	1.0	-3.3999999999999986
24	tunic.capitol_3.hall.crowd.hub	186	hall	persons	False	False	['crowd', 'Jolie']	null	1	1	0	0	2	1	1	1.0	1.0	-3.3999999999999986
25	tunic.capitol_3.hall.teddy.speak	188	hall	persons	False	False	['teddy', 'Jolie']	null	1	1	0	0	2	1	1	1.0	1.0	-3.3999999999999986
26	tunic.library.microfiche.reader.paper2.bingo	25	microfiche	objects	True	False	['Jolie']	She helped get votes for women!	1	1	1	0	1	6	9	6.0	1.5	4.450000000000003
27	tunic.library.microfiche.reader	152	microfiche	objects	True	False	['Jolie']	Where are you Theodora?	1	1	0	1	1	4	8	4.0	2.0	9.57
28	tunic.library.microfiche.reader_flag.paper2.bingo	66	microfiche	objects	True	False	['Jolie']	Hey! That's Governor Nelson in front of our flag!	1	2	2	0	1	9	12	4.5	1.3333333333333333	1.8983333333333334
29	tunic.library.microfiche.block_0	151	microfiche	observations	False	True	['Jolie']	The libarian said I could find some information on Youmans in here...	1	1	0	0	1	12	19	12.0	1.5833333333333333	7.773333333333333
30	tunic.library.frontdesk.block_badge	142	frontdesk	cutscenes	False	False	['worker', 'Jolie']	Did you drop something, Dear?	1	1	0	1	2	5	7	5.0	1.4	2.879999999999999
31	tunic.library.frontdesk.wellsbadge.hub	26	frontdesk	objects	True	False	['Jolie']	Wells! What was he doing here? I should ask the librarian.	1	3	1	1	1	11	14	3.6666666666666665	1.2727272727272727	0.8581818181818193
32	tunic.library.frontdesk.worker.flag	65	frontdesk	persons	False	False	['worker', 'Jolie']	Welcome back, Dear! How can I help you? I need to learn more about this flag! It has something to do with ecology. Hmm... those stripes remind me of the American flag. Your flag must have been part of a national movement! Go check the microfiche. Maybe you'll find something!	6	9	4	1	2	50	74	5.555555555555555	1.48	4.04066666666667
33	tunic.library.frontdesk.worker.hello	24	frontdesk	persons	False	False	['worker', 'Jolie']	Oh, hello there! You look like you're on a mission. Two missions, actually! Have you seen a badger around here? I'm afraid not. Please let me know if you do. It's important! I'm also looking for Theodora Youmans. Have you heard of her? Theodora Youmans? Of course! Check out our microfiche. It's right through that door.	9	13	4	3	2	56	82	4.3076923076923075	1.4642857142857142	3.3685714285714283
34	tunic.library.frontdesk.worker.droppedbadge	145	frontdesk	persons	False	False	['worker', 'Jolie']	Did you drop something, Dear? There's a card on the floor.	1	2	0	1	2	11	14	5.5	1.2727272727272727	1.5731818181818191
35	tunic.library.frontdesk.worker.preflag	149	frontdesk	persons	False	False	['worker', 'Jolie']	It's such a nice fall day.	1	1	0	0	2	6	6	6.0	1.0	-1.4499999999999993
36	tunic.library.frontdesk.worker.hello_short	147	frontdesk	persons	False	False	['worker', 'Jolie']	Weren't you going to check out our microfiche? I'm sure you'll find Theodora in there somewhere!	2	2	1	1	2	16	26	8.0	1.625	6.705000000000002
37	tunic.library.frontdesk.worker.wells_recap	150	frontdesk	persons	False	False	['worker', 'Jolie']	Where should I go again? You could try the archivist. Maybe he can help you find Wells!	2	3	1	1	2	17	22	5.666666666666667	1.2941176470588236	1.8905882352941177
38	tunic.library.frontdesk.worker.nelson_recap	148	frontdesk	persons	False	False	['worker', 'Jolie']	Check out the archives. They've got tons of old photos!	1	2	1	0	2	10	14	5.0	1.4	2.879999999999999
39	tunic.library.frontdesk.worker.nelson	67	frontdesk	persons	False	False	['worker', 'Jolie']	I found the flag! Governor Nelson used it on the first Earth Day! Wow! You figured it out! Now I just need some old photos, like last time. The boss is gonna love it!!! You could try the archives. Though the archivist might be too busy to help... Oh, trust me. He'll make time.	7	10	7	0	2	54	66	5.4	1.2222222222222223	0.9382222222222261
40	tunic.library.frontdesk.worker.wells	27	frontdesk	persons	False	False	['worker', 'Jolie']	"What was Wells doing here? He was looking for a taxidermist. What's a taxidermist? Not sure. Here, let me look it up. Oh my! \""Taxidermy: the art of preparing, stuffing, and mounting the skins of animals.\"" Oh no... Teddy! I need to find Wells right away!! Do you know where he is? You could ask the archivist. He knows everybody!"	9	12	5	3	2	60	87	5.0	1.45	3.469999999999999
41	tunic.library.frontdesk.worker.flag_recap	146	frontdesk	persons	False	False	['worker', 'Jolie']	There are some old newspapers loaded up in the microfiche.	1	1	0	0	2	10	18	10.0	1.8	9.55
42	tunic.library.frontdesk.block_nelson	144	frontdesk	observations	False	True	['Jolie']	I should ask the librarian where to go next.	1	1	0	0	1	9	12	9.0	1.3333333333333333	3.653333333333336
43	tunic.library.frontdesk.block_badge_2	143	frontdesk	observations	False	True	['Jolie']	I should ask the librarian why Wells was here.	1	1	0	0	1	9	12	9.0	1.3333333333333333	3.653333333333336
44	tunic.kohlcenter.halloffame.togrampa	7	halloffame	cutscenes	False	False	['Jolie']	Our shirt is too old to be a basketball jersey! I need to get to the Capitol and tell Gramps!	2	2	2	0	1	20	25	10.0	1.25	3.0599999999999987
45	tunic.kohlcenter.halloffame.plaque.face.date	6	halloffame	objects	True	False	['Jolie']	The slip is from 1916 but the team didn't start until 1974!	1	1	1	0	1	12	13	12.0	1.0833333333333333	1.8733333333333313
46	tunic.kohlcenter.halloffame.plaque.face	102	halloffame	objects	True	False	['Jolie']	Anything useful on here?	1	1	0	1	1	4	9	4.0	2.25	12.52
47	tunic.kohlcenter.halloffame.block_0	100	halloffame	observations	False	True	['Jolie']	Gramps said to look for clues. Better look around.	1	2	0	0	1	9	11	4.5	1.2222222222222223	0.5872222222222234
48	tunic.kohlcenter.halloffame.block_1	101	halloffame	observations	False	True	['Jolie']	Maybe I should take a closer look at that plaque...	1	1	0	0	1	10	13	10.0	1.3	3.650000000000002
49	tunic.flaghouse.entry.colorbook	63	entry	objects	True	False	['Jolie']	Ooh... \Ecology flag by Ron Cobb.\	1	2	0	0	1	6	9	3.0	1.5	3.2800000000000047
50	tunic.flaghouse.entry.flag_girl.symbol_recap	177	entry	persons	False	False	['flag_girl', 'Jolie']	If I were you, I'd go to the library and do some digging.	1	1	0	0	2	13	17	13.0	1.3076923076923077	4.91076923076923
51	tunic.flaghouse.entry.flag_girl.hello_recap	176	entry	persons	False	False	['flag_girl', 'Jolie']	There should be some info about that symbol in my book.	1	1	0	0	2	11	15	11.0	1.3636363636363635	4.790909090909089
52	tunic.flaghouse.entry.flag_girl.hello	62	entry	persons	False	False	['flag_girl', 'Jolie']	Hey, nice dog! What breed is he? Actually, he's a badger. Oh, cool! I've never seen a badger in real life. You've got a million flags here! Yep. I'm a vexillophile! A vexy-wha? It just means flag expert. How can I help? I'm investigating this flag. Can you take a look? Hey, I've seen that symbol before! Check it out!	10	15	6	4	2	61	84	4.066666666666666	1.3770491803278688	2.2451803278688516
53	tunic.flaghouse.entry.flag_girl.symbol	64	entry	persons	False	False	['flag_girl', 'Jolie']	It's an ecology flag! Do you know what this flag was used for? I'm not sure. If I were you, I'd go to the library and do some digging. Good idea. Thanks!	5	6	2	1	2	32	40	5.333333333333333	1.25	1.2399999999999984
54	tunic.wildlife.center.tracks.hub.deer	58	center	objects	True	False	['Jolie']	That hoofprint doesn't match the flag!	1	1	1	0	1	6	7	6.0	1.1666666666666667	0.5166666666666693
55	tunic.wildlife.center.wells.animals2	174	center	persons	False	False	['wells', 'Jolie']	Ugh... I think that lynx is looking at me funny.	1	2	0	0	2	10	12	5.0	1.2	0.5199999999999996
56	tunic.wildlife.center.wells.animals	60	center	persons	False	False	['wells', 'Jolie']	Gah. I can't believe this. I'm a historian, not a zookeeper! And this place is dirty, and itchy, and- I love it! Of course you do. You've got a rodent following you around. Actually, badgers aren't rodents- Whatever.	7	7	2	0	2	38	60	5.428571428571429	1.5789473684210527	5.158721804511277
57	tunic.wildlife.center.wells.nodeer_recap	175	center	persons	False	False	['wells', 'Jolie']	My friend is a flag expert. She should be able to help you out.	2	2	0	0	2	14	16	7.0	1.1428571428571428	0.6257142857142846
58	tunic.wildlife.center.wells.nodeer	61	center	persons	False	False	['wells', 'Jolie']	So? What'd you find out? Looks like it's not a deer hoof. Great. Just great. Could this day get any worse?! Hey, Wells... I think I can help with your animal problem. Ha! I don't need your help. Fine. Then I guess you don't want a real, live badger for the exhibit. Wait! What?! Really? Wells, meet Teddy. 😊 He says he'd be willing to help out. Yes!!! I'm saved! A real, live ferret! He's. A. Badger. And we still need to figure out that flag! Fine, fine. Let's see... Actually, I went to school with somebody who LOVES old flags. Why don't you go talk to her? I'll let her know you're coming.	18	29	10	6	2	113	137	3.896551724137931	1.2123893805309736	0.23584986267928265
59	tunic.wildlife.center.fox.concern	173	center	persons	False	False	['fox', 'Jolie']	What is it, Teddy? Oh no... they got sick from polluted water? Poor foxes!	3	4	1	2	2	14	19	3.5	1.3571428571428572	1.7892857142857146
60	tunic.wildlife.center.crane_ranger.crane	55	center	persons	False	False	['crane_ranger', 'Jolie']	Oh no! What happened to that crane? Her beak is stuck in a coffee cup. It's lucky we found her. Ugh! Those cups are all over the place. I need to get her free. She won't hold still! Can Teddy and I help? Sure! Give it a try. Careful. That beak is sharp! We need to calm her down, Teddy. Any ideas? 🧘 Yoga does sound nice. But cranes can't do yoga, Teddy! 🍩 Cranes don't eat donuts! Besides, you just ate my last snack. 🦗 Oh yeah, cranes eat insects! Luckily there are tons of insects around here... Got one! Maybe she'll let me take off the cup!	21	23	10	3	2	106	141	4.608695652173913	1.330188679245283	1.9036177194421668
61	tunic.wildlife.center.expert.recap	172	center	persons	False	False	['expert', 'Jolie']	Thanks for your help, kid!	1	1	1	0	2	5	5	5.0	1.0	-1.8399999999999999
62	tunic.wildlife.center.expert.removed_cup	57	center	persons	False	False	['expert', 'Jolie']	You did it! Thanks, kid. Can I help you with anything? I'm investigating this symbol. Does it look like a deer hoof? There's a diagram of animal tracks over there. Go take a look!	6	7	2	2	2	34	47	4.857142857142857	1.3823529411764706	2.6160504201680688
63	tunic.wildlife.center.coffee	59	center	observations	False	True	['Jolie']	People sure drink a lot of coffee around here.	1	1	0	0	1	9	13	9.0	1.4444444444444444	4.964444444444446
64	tunic.wildlife.center.remove_cup	56	center	observations	False	True	['Jolie']	It's OK, girl! Look, I found you a cricket!	1	2	2	0	1	9	10	4.5	1.1111111111111112	-0.7238888888888866
65	tunic.capitol_1.hall.chap2_finale_c	30	hall	cutscenes	False	False	['gramps', 'wells', 'boss', 'Jolie']	Ooh, nice decorations! Thanks. Did you figure out the shirt? Yes! AND I know who took Teddy! Who on earth is Teddy? And where's your grampa? Here I am! Sorry for the delay, Boss. There was a bit of a... situation... in my office. Wells sabotaged Gramps! AND he stole Teddy!!! One step at a time, Jo. Did you figure out the shirt? I knew you could do it, Jo! Now can I tell you about Teddy?? We need to save him! Whew. You won't BELIEVE the day I've had! YOU! Huh? YOU STOLE TEDDY! I did no such thing! Wait- who's Teddy? Don't play dumb! Easy, Jo. Why don't you prove your case? Keep your chin up, Jo. We'll find Teddy! Nice work on the shirt, Jolie! Leopold, can you run back to the museum? The next artifact should've arrived by now. Sure thing, Boss! Jo, meet me back at my office. I hope you find your skunk, or whatever.	33	37	18	10	4	161	209	4.351351351351352	1.2981366459627328	1.425039449387274
66	tunic.capitol_1.hall.wells.hub	167	hall	persons	False	False	['wells', 'Jolie']	null	1	1	0	0	2	1	1	1.0	1.0	-3.3999999999999986
67	tunic.capitol_1.hall.wells.chap2_teddy_finale_3	41	hall	persons	False	False	['wells', 'Jolie']	The archivist saw Wells at Bean Town this morning! I DID get coffee, but that doesn't mean I stole your badger! You just said the archivist was at Bean Town, too. I stop at Bean Town every morning. But... there's more!	5	6	3	0	2	41	53	6.833333333333333	1.2926829268292683	2.328658536585369
68	tunic.capitol_1.hall.wells.chap2_teddy_finale_3_fail	166	hall	persons	False	False	['wells', 'Jolie']	That doesn't prove your case.	1	1	0	0	2	5	6	5.0	1.2	0.5199999999999996
69	tunic.capitol_1.hall.gramps.chap2_teddy_finale_0	38	hall	persons	False	False	['gramps', 'Jolie']	Alright. Teddy is my pet badger. He was napping in Gramps's office... And someone kidnapped him! How do you know he was kidnapped?	5	5	1	1	2	23	35	4.6	1.5217391304347827	4.160521739130438
70	tunic.capitol_1.hall.gramps.chap2_teddy_finale_0_fail	163	hall	persons	False	False	['gramps', 'Jolie']	That doesn't prove your case.	1	1	0	0	2	5	6	5.0	1.2	0.5199999999999996
71	tunic.capitol_1.hall.gramps.chap2_teddy_finale_2	40	hall	persons	False	False	['gramps', 'Jolie']	I found a coffee cup from Bean Town! And Gramps only drinks Holdgers! That's true. How does a coffee cup prove Wells took Teddy?	4	4	2	1	2	24	30	6.0	1.25	1.5
72	tunic.capitol_1.hall.gramps.chap2_teddy_finale_4	42	hall	persons	False	False	['gramps', 'Jolie']	Wells was looking for a taxidermist! HE WANTS TO KILL TEDDY! Actually... I asked Wells to find a taxidermist. I want to have animals at the exhibit! I'd prefer live animals. But we need a back-up plan. Wha... but... Then who took Teddy??? No idea, kid. But it wasn't me.	10	12	3	3	2	51	71	4.25	1.392156862745098	2.494950980392158
73	tunic.capitol_1.hall.gramps.chap2_teddy_finale_4_fail	165	hall	persons	False	False	['gramps', 'Jolie']	That doesn't prove your case.	1	1	0	0	2	5	6	5.0	1.2	0.5199999999999996
74	tunic.capitol_1.hall.gramps.chap2_teddy_finale_2_fail	164	hall	persons	False	False	['gramps', 'Jolie']	That doesn't prove your case.	1	1	0	0	2	5	6	5.0	1.2	0.5199999999999996
75	tunic.capitol_1.hall.boss.chap2_finale_0	31	hall	persons	False	False	['boss', 'Jolie']	Yes! I solved it! So? What's the story? Well, remember that slip? What slip?	4	6	2	4	2	14	18	2.3333333333333335	1.2857142857142858	0.49142857142857466
76	tunic.capitol_1.hall.boss.chap2_finale_5_fail	158	hall	persons	False	False	['boss', 'Jolie']	That doesn't prove your case.	1	1	0	0	2	5	6	5.0	1.2	0.5199999999999996
77	tunic.capitol_1.hall.boss.chap2_finale_3_fail	156	hall	persons	False	False	['boss', 'Jolie']	That doesn't prove your case.	1	1	0	0	2	5	6	5.0	1.2	0.5199999999999996
78	tunic.capitol_1.hall.boss.writeitup	162	hall	persons	False	False	['boss', 'Jolie']	Head back to the museum. Your gramps is waiting for you.	1	2	0	0	2	11	13	5.5	1.1818181818181819	0.5004545454545486
79	tunic.capitol_1.hall.boss.chap2_finale_1	32	hall	persons	False	False	['boss', 'Jolie']	Okay. What did you find out? It's a dry cleaning receipt! How do you know?	3	4	1	2	2	15	18	3.75	1.2	0.03250000000000064
80	tunic.capitol_1.hall.boss.chap2_teddy_finale_1_fail	160	hall	persons	False	False	['boss', 'Jolie']	That doesn't prove your case.	1	1	0	0	2	5	6	5.0	1.2	0.5199999999999996
81	tunic.capitol_1.hall.boss.chap2_finale_4_fail	157	hall	persons	False	False	['boss', 'Jolie']	That doesn't prove your case.	1	1	0	0	2	5	6	5.0	1.2	0.5199999999999996
82	tunic.capitol_1.hall.boss.chap2_finale_6	37	hall	persons	False	False	['boss', 'Jolie']	Wow! That's her! So Youmans wore this shirt in women's rights marches! What a fantastic piece of history- and what impeccable research!	4	4	4	0	2	22	34	5.5	1.5454545454545454	4.791363636363638
83	tunic.capitol_1.hall.boss.chap2_teddy_finale_1	39	hall	persons	False	False	['boss', 'Jolie']	I found his scarf! Teddy would NEVER leave without his scarf! Alright, everybody hold up- Are you telling me there's a LIVE badger in MY museum? WE'LL DEAL WITH THAT LATER, MRS. M. Watch it, Jo. Did you find any other clues?	7	7	2	2	2	42	59	6.0	1.4047619047619047	3.326190476190476
84	tunic.capitol_1.hall.boss.chap2_finale_2_fail	155	hall	persons	False	False	['boss', 'Jolie']	That doesn't prove your case.	1	1	0	0	2	5	6	5.0	1.2	0.5199999999999996
85	tunic.capitol_1.hall.boss.haveyougotit	161	hall	persons	False	False	['boss', 'Jolie']	Jolie! I was hoping you'd stop by. Any news on the shirt artifact? I haven't quite figured it out just yet... Well, get on it. I'm counting on you and your gramps to figure this out!	3	6	2	1	2	36	48	6.0	1.3333333333333333	2.4833333333333343
86	tunic.capitol_1.hall.boss.chap2_finale_4	35	hall	persons	False	False	['boss', 'Jolie']	The shirt belonged to Theodora Youmans! Hmm. I've heard that name before. Who is Theodora Youmans? I had the same question. So I went to the library to get some answers.	5	6	1	1	2	31	46	5.166666666666667	1.4838709677419355	3.9346774193548413
87	tunic.capitol_1.hall.boss.chap2_finale_5	36	hall	persons	False	False	['boss', 'Jolie']	Of course! Youmans was a suffragist! Yep! She fought to get women the right to vote. Very good, Jolie! The fight for women's suffrage is an important part of Wisconsin history. But where does the shirt come in?	5	7	4	1	2	38	55	5.428571428571429	1.4473684210526316	3.6060902255639142
88	tunic.capitol_1.hall.boss.chap2_finale_1_fail	154	hall	persons	False	False	['boss', 'Jolie']	That doesn't prove your case.	1	1	0	0	2	5	6	5.0	1.2	0.5199999999999996
89	tunic.capitol_1.hall.boss.chap2_finale_6_fail	159	hall	persons	False	False	['boss', 'Jolie']	That doesn't prove your case.	1	1	0	0	2	5	6	5.0	1.2	0.5199999999999996
90	tunic.capitol_1.hall.boss.chap2_finale_2	33	hall	persons	False	False	['boss', 'Jolie']	An expert opinion. Good thinking! Where did you go from there? Well, I had to figure out WHICH cleaner the receipt was from. How did you narrow it down?	4	5	1	2	2	29	40	5.8	1.3793103448275863	2.94786206896552
91	tunic.capitol_1.hall.boss.chap2_finale_0_fail	153	hall	persons	False	False	['boss', 'Jolie']	That is definitely no slip...	1	1	0	0	2	5	9	5.0	1.8	7.600000000000001
92	tunic.capitol_1.hall.boss.chap2_finale_3	34	hall	persons	False	False	['boss', 'Jolie']	You found the right cleaner on the first try? What a lucky break! Gramps always says I'm his good luck charm! What did you do at the cleaner's? I wanted to find out who owned the shirt- So I checked the logbook.	6	5	2	2	2	42	50	8.4	1.1904761904761905	1.733619047619051
93	tunic.historicalsociety.collection.cs	4	collection	cutscenes	False	False	['gramps', 'Jolie']	Look at that! It's the bee's knees! Can we hurry up, Gramps? Teddy and I were gonna go climb that huge tree out back! Hmmm. Don't forget about your homework. Your teacher said you missed 7 assignments in a row! Well, I did SOME of those. I just couldn't find them! Did you do all of them? No... because history is boring! I suppose historians are boring, too? No way, Gramps. You're the best! Then do it for me! Your teacher said you could help me for extra credit. Go ahead, take a peek at the shirt!	13	18	9	3	2	97	126	5.388888888888889	1.2989690721649485	1.8395017182130609
94	tunic.historicalsociety.collection.slip	99	collection	objects	True	False	['Jolie']	I'll record this in my notebook.	1	1	0	0	1	6	9	6.0	1.5	4.450000000000003
95	tunic.historicalsociety.collection	96	collection	objects	True	False	['Jolie']	Guess I should look for clues.	1	1	0	0	1	6	6	6.0	1.0	-1.4499999999999993
96	tunic.historicalsociety.collection.gramps.found	5	collection	persons	False	False	['gramps', 'Jolie']	Find anything? Just this old slip from 1916. Hot Dog! I knew it! I'm not so sure that this is a basketball jersey. Wait, you mean Wells is wrong?! Could be. But we need evidence! Why don't you head to the Basketball Center and rustle up some clues? Ooh, I like clues! I'll be at the Capitol. Let me know if you find anything!	9	12	6	3	2	64	80	5.333333333333333	1.25	1.2399999999999984
97	tunic.historicalsociety.collection.gramps.lost	98	collection	persons	False	False	['gramps', 'Jolie']	Um... what did you want me to do again? Head over to the Basketball Center. Hopefully you can rustle up some clues!	3	4	1	1	2	22	31	5.5	1.4090909090909092	3.1822727272727285
98	tunic.historicalsociety.collection.gramps.look_0	97	collection	persons	False	False	['gramps', 'Jolie']	Have a look at the artifact!	1	1	1	0	2	6	8	6.0	1.3333333333333333	2.4833333333333343
99	tunic.historicalsociety.stacks.journals	120	stacks	objects	True	False	['Jolie']	I need to find more info about Theodora!	1	1	1	0	1	8	12	8.0	1.5	5.230000000000004
100	tunic.historicalsociety.stacks.journals_flag.pic_2.bingo	124	stacks	objects	True	False	['Jolie']	I should go to the Capitol and tell Mrs. M!	1	2	1	0	1	10	12	5.0	1.2	0.5199999999999996
101	tunic.historicalsociety.stacks.journals_flag.pic_0.bingo	122	stacks	objects	True	False	['Jolie']	I should go to the Capitol and tell Mrs. M!	1	2	1	0	1	10	12	5.0	1.2	0.5199999999999996
102	tunic.historicalsociety.stacks.journals_flag.pic_1.bingo	123	stacks	objects	True	False	['Jolie']	I should go to the Capitol and tell Mrs. M!	1	2	1	0	1	10	12	5.0	1.2	0.5199999999999996
103	tunic.historicalsociety.stacks.journals.pic_2.bingo	29	stacks	objects	True	False	['Jolie']	I should go to the Capitol and tell everyone!	1	1	1	0	1	9	14	9.0	1.5555555555555556	6.2755555555555596
104	tunic.historicalsociety.stacks.journals_flag	121	stacks	objects	True	False	['Jolie']	I need more context about how the flag was used.	1	1	0	0	1	10	12	10.0	1.2	2.4700000000000024
105	tunic.historicalsociety.stacks.outtolunch	125	stacks	observations	False	True	['Jolie']	Better check back later.	1	1	0	0	1	4	6	4.0	1.5	3.6700000000000017
106	tunic.historicalsociety.stacks.block	119	stacks	observations	False	True	['Jolie']	The archivist said I should look in the stacks.	1	1	0	0	1	9	11	9.0	1.2222222222222223	2.342222222222226
